date,time,white,black,white_elo,black_elo,result,time_control,eco,opening,termination,moves_san
2025.11.11,20:28:16,RhysLWells,777wz,844,908,0-1,300,D02,,777wz won on time,d4 d5 Nf3 Nc6 Bf4 Bg4 c3 Bxf3 gxf3 Qd7 Na3 O-O-O Qd3 e6 Bh3 f5 O-O-O Bxa3 bxa3 Na5 Be5 Nf6 Rhg1 Nc4 e4 Qb5 Qc2 Nxa3 Qb3 Qxb3 axb3 dxe4 Bxf6 gxf6 fxe4 fxe4 Bxe6+ Kb8 Bf5 Nb5 Kb2 Rhe8 Rde1 Nd6 Bxh7 Rd7 Bg6 Rg8 Bh5 Rxg1 Rxg1 a6 f4 Rh7 Rg8+ Ka7 Bg4 Rxh2+ Ka3 f5 Bd1 Nb5+ Kb4 Rh3 c4 Nxd4 Rc8 c6 Rd8 Ne6 Rd6 Nxf4 Rd4 Nd3+ Ka5 b6+ Ka4 Nb2+ Ka3 Nxd1 Rxd1 e3 Rd7+ Kb8 c5 b5 Kb4 e2 Ka5 e1=Q+ Kb6 Rh8
2025.11.10,20:56:06,RhysLWells,m87fawzy,851,868,0-1,300,D02,,m87fawzy won - game abandoned,d4 d5 Nf3 Nf6 Bf4 Bf5 c3 e6 h3 Bxb1 Qxb1 c5 e3 c4 b3 b5 bxc4 bxc4 Ne5 Qa5 Qc2 Ne4 Rb1 Ba3 Be2 O-O O-O f6 f3 Nxc3 Bxc4 dxc4 Nxc4 Ne2+ Qxe2 Qc3 Nxa3 Qxa3 Rfc1 Nd7 Qa6 Qxa6 Bd6 Rfd8
2025.11.10,20:35:06,Profise,RhysLWells,839,859,0-1,300,C02,,RhysLWells won by checkmate,d4 e6 e4 d5 e5 Nc6 c3 a6 b4 a5 b5 Na7 a4 c6 c4 Bb4+ Bd2 cxb5 cxb5 Ne7 g4 Bxd2+ Qxd2 Bd7 h4 h6 h5 Nac8 Nc3 Nb6 f3 Nc4 Bxc4 dxc4 Qe2 Rc8 Rb1 Nd5 Nxd5 exd5 Qd2 c3 Qd3 O-O Rc1 f6 Rxc3 Rxc3 Qxc3 fxe5 dxe5 Re8 Kd1 Be6 Ke1 d4 Qd3 Ba2 f4 Qe7 Kf2 Bd5 Rh2 Qb4 Ne2 Rd8 Nxd4 Bc4 Qe3 Qb2+ Kg3 Qb4 Rc2 Qxa4 Nf5 Rd3 Ne7+ Kh7 Qxd3+ Bxd3 Rd2 Bxb5 Nd5 Qa3+ Kf2 Qc5+ Ke1 Qg1#
2025.11.10,19:30:38,RhysLWells,sana053093,851,863,0-1,300,B00,,sana053093 won by checkmate,d4 e6 e4 d5 e5 Nc6 Nf3 Nh6 Bxh6 gxh6 Qd2 Qe7 a3 Bd7 c4 dxc4 Bxc4 Bg7 Nc3 h5 h4 f6 O-O fxe5 dxe5 O-O-O Bb5 Nxe5 Bxd7+ Rxd7 Qe3 Nxf3+ Qxf3 Rf8 Qxh5 Rf5 Qxh7 b6 Rad1 Rxd1 Rxd1 Rxf2 Kxf2 Bd4+ Ke2 Qxh7 Rxd4 Qc2+ Kf3 Qxb2 Ne2 Qxa3+ Kf2 Qc5 g3 e5 h5 exd4 h6 d3+ Ke1 dxe2 h7 Qh5 g4 Qxh7 Kxe2 Qe4+ Kf2 Qxg4 Ke3 a5 Kd3 a4 Kc3 b5 Kb2 Qe2+ Ka3 Qd3+ Kb4 Qc4+ Ka5 a3 Ka6 Qa4#
2025.11.09,18:17:04,RhysLWells,csmnjtr,859,866,1-0,300,A40,,RhysLWells won by resignation,d4 e5 Nf3 e4 Nfd2 d5 f3 f5 c4 c6 fxe4 fxe4 Nc3 Be6 c5 Qh4+ g3 Qd8 Bg2 Nf6 h3 g6 Nf1 Bg7 Bf4 Nbd7 Qd2 Nh5 Be3 Qf6 O-O-O Qe7 g4 Nhf6 Ng3 h5 g5 Nh7 h4 O-O-O Rdf1 Rdf8 Nd1 Rxf1 Rxf1 Rf8 Bf4 Bg4 Ne3 Be6 Qa5 b6 Qxa7
2025.11.08,20:05:57,RhysLWells,CaatingueiroBR,850,888,0-1,300,D02,,CaatingueiroBR won on time,d4 d5 Nf3 Nc6 c3 e6 Nbd2 Bd6 b3 e5 e3 e4 Ng1 Bf5 f3 exf3 Ngxf3 g6 c4 dxc4 Nxc4 Nb4 Nxd6+ Qxd6 e4 Bxe4 Ba3 O-O-O Bxb4 Qxb4+ Qd2 Qb6 Ne5 Rxd4 Nc4 Qc5 Qe2 Nf6 Ne3 Qb4+ Kf2 Re8 Qb5 Qd2+ Kg3 Qxe3+ Kh4 g5+ Qxg5 Qf2+ g3 Bxh1+ Qg4+ Rxg4+
2025.11.08,19:00:32,akhilendra99,RhysLWells,849,857,0-1,300,C46,,RhysLWells won on time,e4 Nc6 Nc3 e5 Nf3 f6 d4 d6 d5 Nce7 Bb5+ Bd7 a4 a6 Bc4 c6 O-O cxd5 Nxd5 Be6 Nxe7 Bxc4 Nc6 bxc6 Re1 d5 exd5 Bxd5 Be3 Bxf3 Qxf3 Ne7 c4 Rc8 a5 c5 Red1 Qc7 Qe4 Ng6 Qd5 Be7 g3 Rd8 Qe6 Rxd1+ Rxd1 Nf8 Qxa6 Kf7 Qb5 Ne6 Rd7 Qb8 Qc6 Rd8 Bxc5 Nxc5 Rxd8 Qxd8 a6 Nxa6 Qxa6 Qd1+ Kg2 Qd3 c5 Qxa6
2025.11.08,18:51:05,RhysLWells,3LH,849,845,1/2-1/2,300,C44,,Game drawn by repetition,e4 e5 Nf3 Nc6 d3 g6 Be3 Bg7 h3 Nf6 Nc3 O-O Nd5 d6 c4 Nxd5 cxd5 Nb4 a3 Na6 d4 c6 Bxa6 bxa6 dxc6 exd4 Nxd4 Re8 f3 d5 Bf2 dxe4 O-O e3 Bxe3 Rxe3 Re1 Bxd4 Rxe3 Bxe3+ Kh1 Qxd1+ Rxd1 Be6 Re1 Bb6 g4 Rc8 Rc1 Bd5 Re1 Rxc6 Kg2 Rc2+ Kg3 Rxb2 Rd1 g5 Rxd5 Bc7+ f4 Bxf4+ Kf3 Ra2 Ke4 Rxa3 Kf5 Kg7 h4 h6 hxg5 hxg5 Rd4 Rb3 Ra4 Rb5+ Ke4 a5 Kd3 a6 Kc4 Bd2 Kd3 Bf4 Kc2 Be3 Kd3 Bf4
2025.11.08,18:48:15,Muhammad22Nouri,RhysLWells,829,849,0-1,300,A40,,RhysLWells won by checkmate,d4 e5 dxe5 Nc6 f4 f6 e3 fxe5 fxe5 Nxe5 Nf3 Nxf3+ Qxf3 Qf6 Qh5+ g6 Qd1 Bd6 Bd2 b6 Qe2 Bb7 Nc3 Ne7 O-O-O Bc6 Qa6 Nd5 Nxd5 Bxd5 Bb5 c6 Qb7 O-O Bd3 Bxa2 Qxd7 Ba3 bxa3 Qa1#
2025.11.08,18:37:30,persin24,RhysLWells,849,841,1-0,300,C20,,persin24 won by checkmate,e4 e5 Qh5 Nc6 Bc4 g6 Qd1 f6 Nc3 a6 Bd5 Nge7 Bxc6 Nxc6 Nf3 Bh6 d3 Bxc1 Qxc1 d6 Qh6 Qe7 Nd5 Qf7 h4 Be6 Ne3 Nd4 Nxd4 exd4 Nc4 Bxc4 dxc4 Qxc4 Qg7 Rf8 Qxh7 Qb4+ Kd1 Qxb2 Rc1 Qxa2 Qxg6+ Kd8 h5 d3 Qg7 dxc2+ Rxc2 Qa1+ Rc1 Qd4+ Ke1 Qxe4+ Kf1 Qd3+ Kg1 Re8 Qxc7#
